digits,m,N,tail_minus_log10,delta_theta2,delta_theta3,verified_digits
50,2.0,10,104.798234624849482903187569364822851761611753506000836425036501726086923349562626668481575082646837497666844311484499030377520635973510125647886328312,0.0,0.0,103
100,2.0,13,169.94240691041055310979753092556247190735684855286659685780395836784324073896588576271714510306658181700575455763949223666704782222468006820314003502518393906316170892667868307750562734619281885640599,0.0,0.0,168
